VID	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175
v_127	633.4537605889266	426.6344048997849	282.5370050823574	187.24585278231908	124.57064912177016	83.12980955213953	55.53396887988115	37.04718391789934	24.61548780885741	16.24581617118079	10.62009826759538	6.856376073449998	4.358730770858505	2.7201692552053327	1.6616950948865354	0.9911132670930112	0.5761563504010966	0.3261552943470477	0.1796222091535443	0.0956560778687209	0.047975952227587	0.0207235260466319	686.8360051443402	192.55809180230068	81.0543015547101	43.73696924006459	27.595159967585907	19.19443979992889	14.224282109899008	11.028465059194982	8.853280825437226	7.295852594479872	6.113601299605279	5.15365787307536	4.321742886694546	3.56544074873335	2.861980673648009	2.208308088439058	1.6140468237103396	1.0966774916845097	0.6746170768337972	0.3600107883266406	0.1538444551666551	0.0439367714869859	655.6705600487173	169.63389013967367	63.27713186616927	29.46161350536361	15.807310671987947	9.226515635588663	5.624695987973771	3.491374664653596	2.1759590768393786	1.351017798662668	0.8297866192058304	0.4989891232740379	0.2894753556515058	0.1593786097079115	0.0825188428368726	0.0402851403282314	0.018453582066871	0.0076798436540681	0.0027477170055772	0.0007766381072255	0.0001488423218221	1.36883028038e-05	675.5579393812167	183.71689062076663	74.50201851316059	38.91361921747798	23.97280132177859	16.34395838180539	11.822270485978017	8.852139462833723	6.769366451777258	5.244667251722284	4.09033260177077	3.189083186304822	2.465332803664916	1.871429086330646	1.379019937144092	0.972983494074304	0.6458788033947168	0.3927547123637792	0.2093587078799046	0.0908692969223218	0.0282600036003296	0.0049733147871493	663.7929276023029	174.1040351472607	66.23413356901494	31.62680209807395	17.476485508140037	10.531290647027996	6.630777459445085	4.24373756235591	2.718509046004709	1.7308163541477497	1.0928526685412057	0.6838112264944496	0.422715761094832	0.2556217952500535	0.1481004421622096	0.0797664391854271	0.038813972521676	0.0166201132626622	0.0060178086552881	0.0017092180519557	0.0003282284985942	3.02113305625e-05	936.322481304624	226.3263276964113	77.10081431866968	31.90651927673308	15.00035940277964	7.72167411757247	4.249467140327229	2.455748712504411	1.4679938598458486	0.8954987815446409	0.5504179434006916	0.3367389693201931	0.2025859364464842	0.1183477979936737	0.0662268129559185	0.0349643667319259	0.0171326090333191	0.0076819268511614	0.0031500134541784	0.0012258152183956	0.0004994703621803	0.0002418121139451	56560.714916891615	12656.864442928476	4196.117639991395	1739.0764439859486	835.4937866479871	446.6161174974964	258.8663210333123	159.70357488805072	103.32799491868523	69.21706307583469	47.444548002577534	32.907146834447545	22.844504670078404	15.701054717676184	10.56434721544443	6.874121964483594	4.264165661988393	2.475715972030136	1.310126564267583	0.605348026925561	0.2253362996840076	0.0563746565078858	21351.007643545963	5307.458037949715	1951.5099358059867	887.699381230996	460.4392808354856	260.4368905136064	156.27543165316024	97.64746771804892	62.68495410708061	40.912655228912136	26.914979438139664	17.711467186488168	11.572292429814306	7.448458941660317	4.6785548109055615	2.832104124882545	1.622356837053706	0.8550973789517219	0.3965086308797726	0.1502435160191831	0.040951332311918	0.006344403671602
v_165	1105.421460946925	511.0779089278408	288.9294177066392	180.5438172065977	118.88359096165244	80.28660053928384	54.66746585894692	37.10975868715853	24.930738354755157	16.502889720325108	10.741695586219793	6.873841274359251	4.330319178511891	2.690972797686125	1.652802193483685	1.0039053867569403	0.6014020474202914	0.3522791099717646	0.1979575693078041	0.1027575036396501	0.0457044627255999	0.0147179129853904	685.2527555292297	195.83421636452505	82.75517855045263	44.30518529974531	27.68951940998644	19.163353093473308	14.193890419451629	11.018892255254723	8.8519355172755	7.291207167385826	6.103515601123033	5.141904452582751	4.312704471385294	3.5610570240620985	2.8616690209617883	2.210705470351824	1.6181537956228125	1.1011150945492931	0.6775622187874196	0.3605126924105851	0.1526593576311188	0.0427435514625766	652.8775961171154	172.70935981377693	65.02759273192903	30.115351371006117	15.966693966848878	9.233901083425383	5.614626919924592	3.493748936365332	2.1853762339714597	1.3595629920210712	0.8355871888713886	0.5036930956262867	0.2941788125425158	0.1630962635917348	0.0833649335949092	0.0378325570431643	0.0145435526671599	0.0044540981172391	0.0009958445111835	0.00014111777029	9.849112887138973e-06	1.907363345899543e-07	659.1691906649394	184.0884737469169	75.9663954743361	39.62244230703052	24.072137698748275	16.17138005990652	11.602246298905296	8.686697613945327	6.682273763878866	5.222277489376304	4.108073086793387	3.2246385853725674	2.5031549107558244	1.9027067490578555	1.400017922586978	0.983070290285769	0.6466902477199464	0.3887101655543354	0.2061406609364358	0.0914777860256776	0.0310382657844899	0.0067833408874413	645.5067995860525	173.5491376788764	67.25345773324793	32.159591972087895	17.554983500531556	10.422656738286852	6.512327545142343	4.185192024133716	2.7224712988524598	1.7718715621823375	1.1429540222708947	0.7242659095548306	0.4468296049667077	0.2660056898645379	0.1516798195485061	0.0825050659451478	0.0428691355152865	0.0214486758838233	0.0104825951601784	0.0050914709280089	0.0024870145311747	0.0012015470479122	926.340538023456	221.1278797615699	75.43479628609077	31.511043294205027	15.0046484683433	7.81514148164892	4.32927202971605	2.496468283615256	1.4721194715418078	0.8740460795996057	0.5152098044297854	0.2974804615507143	0.1660055611799345	0.0882350143368736	0.0439279089733235	0.020063691508984	0.0081793244877723	0.002863426465017	0.0008116194398035	0.0001688282845157	2.15246256909e-05	1.1171803540839522e-06	58756.65243024298	12767.84393660534	4184.367765338827	1728.6481724305156	830.8810180229184	444.8884502356922	258.2536323217373	159.45100429821457	103.161753267272	69.06374404427584	47.30192588173244	32.79082790195052	22.76666386890908	15.663686656886297	10.55993470711477	6.889496230984107	4.285592595650376	2.493128355281677	1.3192876499862225	0.6072657618643725	0.2238017907409742	0.054860835973001	24796.53324141005	5818.9298249912745	2056.636755491608	909.1516830134976	461.9161760531611	257.5731454340618	153.21781397843827	95.38244495523556	61.27590396340638	40.17397250859285	26.624433739554973	17.676918727433083	11.649953182869902	7.544773203126741	4.744773292552046	2.85541643996196	1.6136899940704923	0.8349283625653989	0.3815272629055595	0.1455704787875289	0.0418595496888058	0.0071641708397586
v_178	591.72761752054	450.2869094896664	295.9610114916886	190.11587278168992	123.48502997957196	81.54608316143879	54.50705987613839	36.60645635118095	24.51862562121315	16.276938538965364	10.661643587112632	6.871384687949054	4.352717163859919	2.7101632972421177	1.6598066647482483	1.000146218924174	0.5918843029882112	0.3417006613357265	0.1891505499142818	0.0965278478782346	0.0415071739607036	0.0119630728858426	633.2233388143568	185.5141143409132	80.22129253842064	43.549659520356	27.34768897713923	18.93689114705143	14.033775730800738	10.915592506520875	8.791364618851132	7.255698559426619	6.079878861603103	5.124595500985807	4.301259412955848	3.555379462206323	2.8592745409171627	2.2075849960828764	1.6118029142443768	1.0925674355325092	0.670276974430216	0.3569810693793434	0.1520847839989349	0.0425580124437483	594.3729675028081	160.76420091846816	62.254502110601805	29.51939311522577	15.864808428270605	9.22775910384689	5.630793745673757	3.523343503123008	2.220994869110485	1.390117142328475	0.8532707802102594	0.5079708545766248	0.2902999760123897	0.1576336319261513	0.0804585408706397	0.0381313743890941	0.0165269250302206	0.0064194701070164	0.0021683468137499	0.0006061545732664	0.0001281103680751	1.66713276008e-05	725.113922359692	189.31045527974783	76.86972343355907	40.13547335072891	24.47029246428053	16.46416031343364	11.803918954046532	8.819905614537717	6.76834145508261	5.2771453664699255	4.141342961402128	3.240567334710778	2.503442987737793	1.8899003145570832	1.379661756537497	0.9630175934302764	0.6337431645856801	0.3849276561151179	0.2080601265155792	0.0937057310956118	0.0312716902644803	0.0064736544368969	713.7296465598525	180.18932814318063	69.10398786395156	33.31199082301747	18.367437721783805	10.9547857910938	6.815224920064388	4.313835365672108	2.730315726681189	1.7073300317581106	1.046481730211681	0.6257515861954714	0.3643231570102565	0.2065691929917629	0.1143101939345226	0.0619690149247504	0.0330748481123246	0.0174831333415027	0.0092066983890611	0.0048527284386334	0.0025611477745631	0.0013347288959045	1062.829436053788	243.0413753210683	79.67076132707783	32.22116368069749	14.962931236304303	7.655054363616749	4.199985972749004	2.4245532700595507	1.4515298504380614	0.8908274357586542	0.554960386832503	0.3478543717875387	0.2175533361408696	0.1345956691635464	0.0816067187373991	0.0479531127715739	0.0269233109846114	0.0141614166178282	0.0067750743488611	0.00280753690646	0.0009200242027873	0.0001942955308008	70508.25294180865	13665.341047300148	4240.923427988781	1709.2186559535508	813.8785147224455	435.0198339681564	252.9472237500144	156.6343284269796	101.67294556829545	68.2943576427341	46.930953202943165	32.63822440692832	22.723812417841312	15.66270776691116	10.561909536017556	6.878661250883597	4.263307898431068	2.469230547117033	1.3027916085925264	0.6005302249660496	0.2227863532570927	0.0546011217690856	20659.832328342243	5036.4005335273405	1833.046557627248	831.2559872169435	432.5522620951574	246.8491737282937	150.171848070022	95.47871383101896	62.48636099749252	41.56441064395229	27.78946121808105	18.486029749675406	12.11903853517479	7.759703393319158	4.809418082416625	2.856944742418242	1.6052633248833297	0.8353423816103566	0.3877594389376305	0.1497272945445714	0.0420931003100986	0.0065957807464035
v_208	1080.6151167783944	516.8312543310665	293.83761982173866	182.3500537152421	118.76705785954545	79.42672339829427	53.78358228660668	36.51473050099634	24.66990872711389	16.4870394433304	10.846289451633744	6.997833784194134	4.418680791126845	2.7313115767483773	1.6589087347315137	0.9975070458765336	0.5991975950779657	0.3605778334868334	0.2139341781557698	0.119442036230489	0.0573321049051597	0.0197925971569552	734.9428511811851	205.0185126325377	84.96601813661478	44.885575992246736	27.84602984017737	19.21026575957901	14.212241951383112	11.025382291824393	8.8482199042574	7.278487070879384	6.085089805818931	5.122147595092959	4.29529381878759	3.5478930819182346	2.8528625183234357	2.205283418204684	1.614942328864187	1.099262490341793	0.6765994424477753	0.3601587346968682	0.1526454820878608	0.0428154023571229	701.2175641837008	181.1616373232737	66.83575119189067	30.483284741579144	16.02398940871815	9.248747340811445	5.63913446838759	3.526274836306974	2.215985197765392	1.3820803540812223	0.8489778931639701	0.5101375117073155	0.2967390967197582	0.1641360149870617	0.0840545808758034	0.0384429656063004	0.0149958685462086	0.004695906202484	0.0010829762771797	0.0001600899037452	1.18434068772e-05	2.5007547209856405e-07	717.0149570175861	196.35938718281736	79.26838070918043	40.38006371993816	23.99161656222295	15.83432480021539	11.23812860185203	8.387020175341007	6.4742955283054	5.100738761628223	4.052925004707774	3.211800100211143	2.510962997287921	1.9153940143442632	1.408719512439871	0.984881442748886	0.6426776297987793	0.3818251336516378	0.1995807960132109	0.0873535821029326	0.0295271560530416	0.0065696577418462	703.2526564973817	185.7804155813208	70.54252111105747	32.917911929501635	17.481502905591867	10.094569522397451	6.156191308008483	3.890733656604171	2.5158287620967057	1.647585453088508	1.0815178950930815	0.7028258997507719	0.4454870461986601	0.2709856862119467	0.1558547312757985	0.0839044891644453	0.0422225533457748	0.0200589606908278	0.0091977807873482	0.0042012951173819	0.0019776937946941	0.0009762070799741	661.861345070167	172.3092886479552	64.91520262655665	29.73534315968469	15.275628393624755	8.409613511220428	4.818306371371725	2.8135498369538934	1.6470255481395153	0.9530303026715866	0.5379646918516521	0.2923303106066485	0.1507662888338166	0.0725893733038767	0.031981428379543	0.012567208287527	0.0042528946488451	0.0011797996760808	0.0002485616618488	3.49841463899e-05	2.6058207167888383e-06	6.01662817728308e-08	61207.31401470081	13171.75479473062	4279.478643280967	1754.5342359853416	837.9134670320144	446.329742989542	258.0701170024225	158.89881035341216	102.63067685485738	68.65323183884064	47.01616442473548	32.60558566169035	22.65353363744865	15.598228709853435	10.52386322293735	6.870358234553942	4.275796935825722	2.4883723770120687	1.3172383262706462	0.6066365920856086	0.223779085306552	0.0549527970335314	24977.810371872398	5841.026634893007	2059.671889353268	909.0678576727652	461.4184825962458	257.169960271547	152.97701080812038	95.27265516993204	61.25540402951341	40.20587243713565	26.680939511820885	17.737682348886754	11.701807039624178	7.580311165267467	4.761960475346591	2.8567166375740207	1.6046920543541512	0.822433110566155	0.3712420926934261	0.140120325406883	0.0403908234349457	0.0071791271441086
v_263	659.993668577072	438.5362124303761	288.0125668737752	189.7975360710504	125.75499769769792	83.6658197331464	55.76321738194588	37.13506982978023	24.642009598331438	16.249065976401088	10.617486330296131	6.855056634812719	4.360891348223266	2.725770208280446	1.669767208026666	1.0004518794154305	0.5856277756010813	0.334836592422647	0.1868618002596583	0.1010775964680324	0.0514867169544678	0.0225048926339938	699.4641984928337	198.36717467444896	82.72512772013916	44.22535164190468	27.837815874994128	19.384916528574912	14.3803186803429	11.14566430291553	8.930315733269383	7.33592687971177	6.124799010997106	5.147633594034097	4.310477876378831	3.557541532238357	2.8610673152804718	2.214277592212329	1.6251274133438662	1.1099903002788598	0.6867902626076567	0.3685829282833278	0.1582480480315375	0.0453345290789925	670.3149439246966	175.93717856960177	64.90768991897828	29.745422158987072	15.829443868811744	9.237198158352491	5.6582142357131815	3.542191650994079	2.233666390748074	1.406427974541517	0.8775268850600603	0.5378014524516997	0.3202593819767036	0.1828345159294649	0.0984202268754947	0.0489047661816651	0.0218046927326291	0.0083796799606002	0.0026117413334986	0.0005964911299767	8.28420389024e-05	4.588811445216336e-06	724.2318390039169	193.4498913050612	76.35765728501751	38.86312442889378	23.39393932221513	15.61978884481556	11.11539666343194	8.25105390920651	6.310840586655716	4.927342712542748	3.8915150378438335	3.078884018539923	2.4146552612536767	1.8552816577843088	1.377606700210537	0.9720938851818413	0.6378226880643187	0.3776521885307831	0.1931599198766364	0.0796770744735377	0.0235647089737731	0.0040653407929664	712.5010304571659	183.65496009974163	67.92329074093523	31.491184671817173	16.89851369199545	9.873853906562818	6.027390741304175	3.7533341740605386	2.353369989109633	1.4732204436735454	0.9135108469911394	0.5559229004726531	0.3283153347453686	0.1855830687379057	0.0987127484067196	0.0483454531036345	0.0211780106776473	0.0079634991073382	0.0024149149503012	0.0005322569521589	7.04360418167e-05	3.6317898678154334e-06	827.738920293775	197.6933706056966	70.42201728150046	31.11876065799061	15.675077971402644	8.589652642668637	4.972750533753838	2.980446535706657	1.821486391797985	1.1211548885653633	0.6875162047693518	0.4157091078648479	0.2452591398816614	0.1395501292507343	0.0755421426037551	0.0382447424966721	0.0177016665325198	0.007253613667658	0.0025061504363119	0.000673194959655	0.0001210571771544	1.03999874971e-05	52901.14909249354	12383.961408979556	4205.583651540138	1763.984545232227	851.1205519374746	454.6722845765309	262.55410506906776	161.11029031452577	103.62748614040278	69.03862285054838	47.11650419425116	32.59022114597992	22.606301015613447	15.556519484825996	10.500442986418394	6.865704895731828	4.284820608448783	2.5043828603328997	1.334130029173785	0.6200973255445507	0.2318893403408578	0.0581805292020373	21290.07188519293	5408.280926178471	1990.8134167729768	898.0747629881096	460.3785865114715	257.446914565424	153.1614971079607	95.30240117087637	61.24002907909369	40.21723678667903	26.74016066444741	17.836553441509217	11.819978618269053	7.69688419317579	4.86088706069544	2.9289118207700557	1.6479576481856335	0.8404442492086637	0.3719471817935871	0.1333672894755223	0.0344453423608426	0.0052131815709679
v_264	689.8638912757965	497.0147262134757	310.6654837806769	192.91504040972725	123.03751049717494	80.72106081253578	54.00030513989279	36.42473532723031	24.517408437638256	16.33276341391527	10.708645528116431	6.890325576807896	4.3494102801710754	2.6976760659941066	1.6488432786676348	0.9960654232610552	0.5954268664799641	0.3508392146223708	0.2006856046895783	0.1071099904024776	0.0484445040951495	0.0144259113541788	667.2942584736957	191.12254232494035	81.95252087277977	44.32783810015759	27.77768803133753	19.2021643754724	14.207387048755736	11.032521332051022	8.869616710258182	7.305083636301946	6.106476658754359	5.1335971974783	4.298612705684016	3.5480377873928197	2.8539332458691637	2.208565846913028	1.6194009838351635	1.1032218750059128	0.6790728341401386	0.3612365160498711	0.1531399559930553	0.0434344720898802	630.8768170709837	167.25328091147134	64.28954433943015	30.34786689946697	16.229824092891178	9.38157235930348	5.684226803990667	3.532662113964286	2.216065275632161	1.3857807457921876	0.8551831838070852	0.516377067578872	0.3027875130203322	0.1711444416046825	0.0925253626006837	0.0474042925163775	0.0227382825884218	0.0100341577124724	0.0039624992912359	0.0013348898729619	0.0003500320227046	5.77970212627e-05	678.730739206836	184.20118729518245	75.87293739206119	39.74598489253891	24.20590798887527	16.252017092409485	11.633026381562864	8.685507773907553	6.665265224977047	5.201223536538054	4.090164506796066	3.212355653321576	2.49445858686266	1.8929902020438096	1.385401103036214	0.963334659163744	0.6257951274635051	0.3722083621643304	0.1974036431945841	0.0896706131592404	0.0324439844578284	0.0079592803169597	662.505805970917	172.62885013644438	66.79398053775493	32.243018144531355	17.805367818530907	10.680714082724494	6.72362261729104	4.333727327758133	2.807875945319352	1.8028643365072048	1.1342014462418792	0.6926141391396158	0.4072976409557421	0.22894534101031	0.1221005853889905	0.0612550467623378	0.0285863429695534	0.0122104959890189	0.0046508184304967	0.0015085439135431	0.0003810375548211	6.07731237162e-05	955.125258143543	227.23670635547936	77.16091597929662	32.00710968561228	15.084238958567076	7.754908632837711	4.238796064352255	2.419972385914128	1.4241336106589166	0.8549200786926612	0.5189117729880763	0.3159178804032267	0.1914331561216611	0.1145186357735525	0.0670164359500161	0.0379386257957272	0.0204756738769094	0.0103216913188218	0.0047110097057666	0.0018488762438083	0.0005666639418203	0.0001092310445296	66092.70567810911	13178.814874127473	4169.16204520021	1703.0814435070522	818.4831907709791	440.0125474292045	256.56703914898657	158.9144946084555	102.95995704301312	68.91999499127984	47.15257996189919	32.64239105525657	22.638049499667854	15.566606307613243	10.495721911072676	6.852360762344883	4.267013436998712	2.485241030437864	1.3164470032517603	0.6064727375035285	0.2240080317703091	0.0556733271012035	29445.65257737861	6388.764935046826	2143.0298875598087	914.0404966355136	453.6496091224457	249.6224847526947	147.78420695787807	92.2098987454306	59.69132313577363	39.56787386627959	26.54232580960335	17.813810486050848	11.824659869226034	7.670837207750492	4.8016421936119125	2.8602066416906062	1.5960166337353645	0.8184134573068826	0.37586220170369	0.1485628134369729	0.047008133085341	0.0101376458343146
v_274	1179.7414840962558	549.1168735518378	306.38624554403845	187.489345438733	120.78858347804052	80.08350072377402	53.85834778706828	36.37178744554946	24.47768981572064	16.317451448214722	10.722752575608904	6.920229959080451	4.3766635629860255	2.7118231541564746	1.650216401889102	0.9912090711275842	0.5908241072313573	0.3492145829269673	0.2011837323848	0.1079817604119913	0.049411377177628	0.0160820694206647	691.8620801021441	198.53810291247808	83.66662023386024	44.85883171687012	28.158079591375003	19.53187186818312	14.449743787914391	11.18428002050504	8.958022675171593	7.360330325047014	6.147478902199489	5.167286285315682	4.325439874629804	3.567368736380026	2.866646206930837	2.2168757063880093	1.6254156218991276	1.107884830009091	0.6823385633680789	0.3630524384328271	0.1541005220104165	0.0443600450057019	663.1709688279759	177.03211018132436	66.5625891443412	30.80012457113417	16.342108592317196	9.429690812811089	5.692819981641124	3.5105797645359984	2.183515224347739	1.3610264012429725	0.8458927038590166	0.5205515283727389	0.3138910801940691	0.1828472840595753	0.1010862458942535	0.051885868390793	0.0240386521413268	0.009667908080107	0.0031839084568207	0.000779429202995	0.0001187002269201	7.523677952766137e-06	681.4705981200801	191.3331060964255	77.38449415682885	39.37755256160437	23.47174944560116	15.558029921323804	11.054419086432087	8.224390675632801	6.311000742389255	4.938188688247301	3.899531875098952	3.0759239621233943	2.3984629342255475	1.8289367493231	1.347931810276043	0.9470548164316712	0.6235683732686889	0.3760223160879751	0.2008185063760835	0.0898201503506534	0.0301219122936008	0.0058035008402956	668.7145926935049	181.25081727354976	68.90625340048891	32.02387475375881	16.988745920363026	9.798887842934477	5.929846037714919	3.678109241854304	2.3063130314812668	1.4495686404045909	0.9067870480029756	0.5598595150911156	0.3374563774794471	0.1958073617260095	0.1074995027560454	0.0546445683768051	0.0250032930378947	0.009899929069574	0.003196549334789	0.0007626937641262	0.0001121743066433	6.751811380973768e-06	852.0799204878813	203.4937832049014	72.47899661645762	32.02108057573439	16.12470152369882	8.832279676447417	5.11029963499268	3.0606201207972616	1.868729130077256	1.148891876433331	0.7035136742081138	0.4246387560633317	0.2499980062350383	0.1418837178305858	0.0765684364991708	0.0386197468605719	0.017793961891288	0.0072505347285578	0.0024874123130314	0.0006620512572523	0.0001175769386227	9.915878199881738e-06	52071.27067001948	11874.161746005671	4037.26895095438	1712.6714616551585	837.4845604756484	452.626214078909	263.60373501710666	162.59921287088326	104.83185725661446	69.85147290472969	47.604108924719725	32.85107069236316	22.72711329992636	15.601761225850655	10.51152054229495	6.864495940057456	4.279622561291393	2.496665859779733	1.3243297979398918	0.6104680849102687	0.2257550888077947	0.0569259175905157	23150.097655304256	5566.847832210971	2001.2200193105327	895.8493997758018	459.5005419574014	258.0385040094878	154.26258902384978	96.3316128035492	61.97065953549762	40.61897651176496	26.872567782983555	17.78785573917278	11.67648027162614	7.528302315284273	4.714718865187798	2.8295493506272664	1.599639827001506	0.8323381231607113	0.3853570634136284	0.1500717073311768	0.0439978970461672	0.0074400540213497
v_287	1179.6604764411336	547.8621611958706	305.3014105697221	186.73192360997	120.32245106961253	79.84045920057584	53.77222181445862	36.38530835506959	24.54434663201948	16.402066008674506	10.801278789561056	6.978849492748538	4.410440589121797	2.7227782097912328	1.6449553342652783	0.978321147429082	0.5783608027434224	0.3426570977370527	0.2022854975110948	0.1148119511708364	0.0577339280237814	0.0217651619053318	685.4948784095394	198.7957338799422	83.86134961429154	44.82380469949254	28.05918830611476	19.432959620369903	14.367501737406624	11.121164414865042	8.910968920657897	7.324761904721788	6.1201311428534	5.146791583851096	4.311156057607215	3.55821398709084	2.8609685738353323	2.2132511204133327	1.6234324725545917	1.1080603950471426	0.6850463084160354	0.3673015218186138	0.1575113828258396	0.0450481360619122	655.322227131692	176.07590293669784	66.01115640808898	30.39367146065303	16.11592107815812	9.341084279198602	5.685518208089549	3.542364718635936	2.226513835688232	1.398652366959209	0.870875496214846	0.5324828994710339	0.3161482833798658	0.1797833584374066	0.0962880287945198	0.0475359090114932	0.0210205252885224	0.0079944326188934	0.0024584884421744	0.0005516697430824	7.47872860411e-05	3.995728291267181e-06	704.4263674115967	193.3631885756261	77.8046047646112	39.693494262508686	23.692676785012356	15.670431915695929	11.093937993818937	8.231800134049836	6.312794486604889	4.947060855873268	3.9197808543594608	3.1073561154496407	2.4378214518869528	1.8706119260035776	1.385114135711278	0.9736130634443548	0.6360917212056365	0.3753226763094707	0.1919465579143449	0.0799650131080668	0.0246895740374393	0.0050819602115187	692.308522290373	183.46049826372305	69.36873567901326	32.35478526550825	17.23447700685463	9.952757619675532	6.021380371851483	3.73770400265526	2.350208514929577	1.4829559031157022	0.9307030837885676	0.5752891346816716	0.346276934571086	0.2002413077090285	0.1094416235551273	0.0553740476686248	0.0252323159077005	0.0099581406713697	0.0032084090349054	0.0007648198966403	0.0001125502077243	6.792031712942002e-06	849.5632826687516	202.1399820152941	71.76228431348132	31.59716385260061	15.849999013211171	8.642029032939254	4.972410690569921	2.957872025171836	1.7911336771777144	1.0902259140975816	0.6595904573179338	0.3924036548821617	0.2270478733382382	0.126209135702672	0.0664329357226466	0.0325154331243663	0.014443914852341	0.0056267153490021	0.001824405365208	0.0004513525591409	7.25962116193e-05	5.286598835226511e-06	54760.09476053657	12544.274755704962	4213.366816591328	1757.9171872363386	846.5077833124058	452.16462358911394	261.3471762759019	160.58838320704848	103.438502374827	68.99914668897667	47.13421881850843	32.621818229135826	22.633428264748787	15.573671339607689	10.508157161819897	6.86679979898409	4.28238455994598	2.500871559571866	1.3310256080996945	0.6180125543812883	0.2308209235099912	0.0578136955210205	21991.778195562536	5467.424573757379	1991.225113148272	894.0271965355893	457.7444528492612	256.1808377934148	152.69445547520706	95.22506156842115	61.31914601146185	40.33347215130687	26.83959530717621	17.900962880250102	11.849446492882882	7.699948544402296	4.848667806859463	2.911438989702705	1.6324973178284043	0.830615227451473	0.3680331764001752	0.1334611479254517	0.0360328306508611	0.0065139252969204
