0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	chi2f
726.9240833	463.6972161	300.4262478	197.5726581	131.2040792	87.56311728	58.48245046	38.92963087	25.73548259	16.84404466	10.88217032	6.932791187	4.332925989	2.657275538	1.594345572	0.934035042	0.53161107	0.290700722	0.149553369	0.06919142	0.02638702	664.9969202	188.1795542	79.68100902	43.2464596	27.47881918	19.29101379	14.40942329	11.23479829	9.026959166	7.424218523	6.195858016	5.210450305	4.356934444	3.592558197	2.885682174	2.231876162	1.637890449	1.118130088	0.690238514	0.367514787	0.154954367	638.9839113	168.2342558	63.57655169	29.76561814	15.9848078	9.3290137	5.689003441	3.52838658	2.190431043	1.350872844	0.825080467	0.49881007	0.295784171	0.16994303	0.092445507	0.046256973	0.020499362	0.00767822	0.002272724	0.000476894	5.81158e-05	621.6119019	169.1014427	70.00631637	37.67850288	23.79717527	16.45011059	11.94312038	8.94131997	6.832684138	5.303013231	4.1499583	3.248388755	2.50888359	1.89525644	1.38452266	0.965967864	0.631277425	0.374675109	0.192471331	0.079946398	0.024968024	609.1004547	159.1907354	61.53344889	30.29447424	17.26326876	10.63266424	6.770681173	4.35382241	2.802906058	1.804818751	1.160721753	0.740441554	0.458561498	0.269090655	0.144870379	0.069248605	0.028253096	0.009365568	0.002344761	0.000392811	3.5046e-05	999.1155677	231.91055	76.01544224	30.36432316	13.84459942	6.959082514	3.773249253	2.169067942	1.302470403	0.80482197	0.504431244	0.316935042	0.196389165	0.118645097	0.068871285	0.037771967	0.019195637	0.008772114	0.003460831	0.001099362	0.000247095	47237.46396	11002.1239	3806.781238	1641.449609	814.8165758	445.9163051	262.4573528	163.2480561	105.8056995	70.71348846	48.23308743	33.30901303	23.00610239	15.7767753	10.6176565	6.92942236	4.322878017	2.524471798	1.341313121	0.618490794	0.227102432	22628.61745	5514.069754	1998.334808	899.8536518	463.2398109	260.5417194	155.8431562	97.20237136	62.36866393	40.74947009	26.84354839	17.72716965	11.6140903	7.496735377	4.711758639	2.844302068	1.611815946	0.830573492	0.370839596	0.134039484	0.036553338	4949
710.5421884	458.7418625	299.1643314	197.4728739	131.4063673	87.78918385	58.64751798	39.03240466	25.78993905	16.86597441	10.88733999	6.932791187	4.332925989	2.659404083	1.598665456	0.93950924	0.536928897	0.295023897	0.152292813	0.070527838	0.026809565	663.7367744	187.9317865	79.59087213	43.1865891	27.42622427	19.23449715	14.36087402	11.18611597	8.991722633	7.394314313	6.175179307	5.196553454	4.350332119	3.59128107	2.886607863	2.23301662	1.637718906	1.117082046	0.689325366	0.367753433	0.156026497	635.6535261	166.9954174	63.03573036	29.55607138	15.92816712	9.336549252	5.718133003	3.559218718	2.215096616	1.367220479	0.833868918	0.502284283	0.296144297	0.169176754	0.091735812	0.045914836	0.020430745	0.007652019	0.002237213	0.000455575	5.31461e-05	625.2123183	170.7119326	70.69736584	37.96787697	23.90641085	16.47648502	11.94312038	8.935910823	6.835887459	5.310987687	4.162882492	3.264022711	2.525689508	1.910581963	1.395013805	0.970985878	0.632306681	0.374675109	0.193283018	0.080741885	0.024122933	612.5208503	160.6773415	62.22449837	30.63374042	17.43723655	10.72874253	6.828940297	4.393850098	2.830134288	1.820767663	1.166666882	0.739399291	0.454360019	0.264961278	0.14243273	0.068541521	0.028527564	0.009860768	0.002678568	0.0005181	5.87086e-05	1003.616088	231.4150146	75.2643015	29.84544547	13.52902994	6.780113147	3.676150713	2.117681045	1.274281177	0.787876251	0.492540987	0.307207247	0.187746121	0.111152618	0.06273088	0.033210135	0.016226231	0.00720136	0.002902796	0.00110334	0.000437681	50855.8825	11532.34674	3908.936377	1659.41076	814.8165758	443.2788618	260.1269878	161.6794034	104.8447032	70.17521268	47.96167938	33.18741559	22.97008971	15.77251821	10.62382776	6.933984192	4.322878017	2.521851692	1.340298512	0.618888537	0.228616027	23024.66326	5543.801876	1994.128419	893.2678966	458.3848959	257.5274985	154.0953825	96.28281637	61.95223218	40.62985325	26.90816936	17.84876709	11.73413258	7.586134266	4.761128736	2.860268479	1.613531374	0.82926344	0.371651283	0.135153165	0.035279395	4945
714.2326153	460.8478878	300.005609	197.6724423	131.3659097	87.69498944	58.56983914	38.98372234	25.77712577	16.87594248	10.90672628	6.951899356	4.346130639	2.666215427	1.599899708	0.937912599	0.535213469	0.294892891	0.154017649	0.073431364	0.029496198	673.0078468	190.2855795	80.34201286	43.41609269	27.49500223	19.27217491	14.39971344	11.22938915	9.030162487	7.420231295	6.179056565	5.180050945	4.32032155	3.557224351	2.858837184	2.216594026	1.632915708	1.119309135	0.692775037	0.368548919	0.154386768	643.2144006	169.2253265	63.87700798	29.89533756	16.02121966	9.3290137	5.681235558	3.52730475	2.199400342	1.36741984	0.844466756	0.516354843	0.308748736	0.17798893	0.096580252	0.04799047	0.021048299	0.007792194	0.002276783	0.000471167	5.64256e-05	618.371527	167.6148366	69.46549504	37.49889137	23.70007697	16.34838063	11.82660213	8.806091295	6.707754611	5.199345303	4.07758282	3.21104097	2.501681053	1.908879127	1.405196388	0.981934275	0.636080623	0.369565903	0.18455738	0.075610997	0.025289663	600.8194968	155.2264525	59.79080239	29.57602821	17.01647725	10.59875426	6.826998326	4.440368762	2.88939573	1.875791409	1.210350653	0.769711795	0.472246318	0.273305174	0.144870379	0.068199384	0.027481153	0.009014474	0.002241271	0.00037372	3.32676e-05	973.0125484	225.9641256	74.18265885	29.72570447	13.60185366	6.863004222	3.732467866	2.150135927	1.292540108	0.798641767	0.500295502	0.313981961	0.194348446	0.117325399	0.068069021	0.037338593	0.018989786	0.008701371	0.003445612	0.001100953	0.000249617	54132.26148	11659.9471	3884.899874	1648.434501	813.1982707	445.1627499	262.2631557	163.1939646	105.7095999	70.47425478	47.89705842	32.97027731	22.73000515	15.57669208	10.49731689	6.876961296	4.307439167	2.527091903	1.346386166	0.620320413	0.226282567	31926.69296	6868.120134	2284.068743	965.3120678	473.7587936	257.5274985	150.405638	92.55050495	59.06924309	38.69604767	25.74499201	17.25815095	11.49404802	7.539306277	4.791985047	2.896763133	1.626397083	0.819831059	0.355519	0.126800556	0.037032643	4948
725.4839167	463.3255646	300.3661565	197.6724423	131.2849945	87.6384728	58.53099973	38.96208575	25.75790584	16.85600634	10.88992483	6.938871059	4.338327891	2.662809755	1.599591145	0.938596873	0.535041926	0.293058817	0.150669439	0.069549389	0.026361793	666.7971284	188.5512057	79.71105465	43.13669702	27.34935478	19.17798051	14.34145431	11.18611597	8.998129275	7.398301541	6.172594469	5.192210689	4.346130639	3.588301107	2.884447921	2.230507612	1.634974221	1.114854956	0.688107836	0.367196592	0.155837297	638.71388	167.6148366	63.12586725	29.50617929	15.84320611	9.276264834	5.689974426	3.551645912	2.214455952	1.365426226	0.829216208	0.496986108	0.292963177	0.168878758	0.092815782	0.046553493	0.020327819	0.00743586	0.00217938	0.000473394	6.52108e-05	626.9225161	170.8358165	70.69736584	37.91798489	23.84167865	16.42185227	11.90428097	8.908865088	6.816667532	5.303013231	4.159005235	3.262285605	2.52208824	1.905047746	1.389768233	0.967564505	0.630934339	0.373889077	0.192471331	0.080105496	0.024236452	614.0510273	160.8012254	62.19445274	30.54393467	17.34822978	10.65903867	6.782332998	4.365181619	2.815719342	1.816780435	1.168605511	0.742612937	0.455380378	0.262875304	0.139161961	0.066374651	0.027961473	0.010046795	0.002922074	0.00063281	8.70318e-05	976.6129648	227.4507317	75.02393647	30.16475482	13.82841637	6.976037506	3.786843048	2.173936174	1.300548411	0.800236658	0.499778535	0.313287119	0.194108362	0.117665966	0.068778716	0.038182531	0.01972742	0.009235872	0.003765214	0.001250505	0.000299629	51017.90124	11548.45164	3911.94094	1660.408601	815.6257283	443.6556394	260.4182835	161.8416779	104.9408028	70.2350211	47.97460358	33.19610112	22.96408759	15.76400403	10.61148524	6.924860529	4.314300878	2.517921534	1.337254685	0.618013502	0.228426828	23312.69658	5595.833089	2007.648953	897.8579684	460.0032009	258.092665	154.2895796	96.28281637	61.92019896	40.58998097	26.85647258	17.81402496	11.71012412	7.569105906	4.751871843	2.857987563	1.611472861	0.82729836	0.369520604	0.133880387	0.035411834	4971
712.4324071	461.5911908	301.057206	198.670284	132.0132317	88.07176706	58.76403622	39.06485954	25.78673573	16.85401273	10.8744158	6.921499996	4.323922818	2.651741321	1.59311132	0.935859774	0.535728097	0.295940934	0.154829336	0.073510912	0.029168252	676.9683049	189.5422764	79.83123716	43.22650277	27.48286494	19.30985267	14.45797256	11.27266232	9.055789057	7.436180207	6.195858016	5.20350188	4.350332119	3.590429652	2.889076368	2.238490818	1.643894446	1.120750194	0.689020984	0.364730584	0.15362997	650.2352127	169.4730942	63.69673421	29.79555339	16.02931119	9.381762566	5.739494681	3.570037012	2.22022193	1.369812177	0.835936789	0.50436881	0.298545143	0.171603295	0.093710616	0.047237767	0.021116916	0.007912719	0.002301133	0.000463212	5.33101e-05	624.7622663	167.8626043	69.46549504	37.61863237	23.90641085	16.56879554	12.02079921	8.973774852	6.839090781	5.299026003	4.146081042	3.250125861	2.514885704	1.902067783	1.38853398	0.966652138	0.630591254	0.375592146	0.196022462	0.083605637	0.025813114	611.3507149	157.4563617	60.78230816	30.14479798	17.36036706	10.78525917	6.899822231	4.441450591	2.854479529	1.832330624	1.174550639	0.747650545	0.462642936	0.271644909	0.146536619	0.070343445	0.02899073	0.009859458	0.00262175	0.000495906	5.50823e-05	951.4100496	227.9462671	75.44457528	29.92527281	13.39551977	6.601143781	3.531473889	2.02843012	1.231036341	0.773522231	0.491636293	0.309465485	0.188466375	0.109066644	0.058719559	0.028785158	0.012478022	0.004594355	0.001352474	0.000287887	3.67236e-05	48515.6118	11088.84259	3803.776675	1636.4604	811.984542	445.1627499	262.3602543	163.2480561	105.7736663	70.6337439	48.12969389	33.22215772	22.95808548	15.75974694	10.62382776	6.947669687	4.336601439	2.529712009	1.339283903	0.613876972	0.22514737	24383.82048	5771.748143	2050.614203	910.3309898	463.6443872	259.2229978	154.2895796	96.06645049	61.66393327	40.37068343	26.68845808	17.69242752	11.62609453	7.518020827	4.721015532	2.842021152	1.607870462	0.831490529	0.377130172	0.140085182	0.037764214	4965
1105.327853	539.266359	310.3713511	193.9804279	126.7537404	84.75612406	57.18133003	38.56180887	25.78993905	17.01350185	11.02433644	7.008355311	4.353333176	2.651315612	1.585705805	0.934263133	0.540702838	0.302753208	0.158380468	0.072500644	0.025939247	656.7159623	188.4273219	80.49224101	43.66555312	27.58805477	19.23449715	14.3220346	11.15366109	8.966096063	7.382352629	6.168717211	5.192210689	4.346130639	3.586598271	2.882596543	2.229367154	1.634802679	1.114854956	0.687803453	0.366878398	0.155648098	628.3626827	167.3670689	63.84696235	29.99512173	16.06976881	9.340317028	5.681235558	3.526222921	2.196197021	1.359246023	0.830896353	0.500199755	0.293743452	0.166750213	0.089791864	0.044774378	0.019984734	0.007633678	0.002338674	0.000517066	6.79226e-05	621.2518602	172.0746549	71.7790085	38.40692732	23.98328034	16.42562004	11.88486126	8.892637647	6.813464211	5.305006845	4.160297654	3.261417052	2.522688452	1.907176291	1.391619611	0.967336413	0.62853274	0.371399976	0.191456722	0.080503239	0.024911264	608.5603922	162.0400638	63.30614103	31.07279077	17.51410604	10.67599367	6.761942304	4.348954178	2.808031372	1.810998954	1.160592511	0.733753695	0.449138179	0.260959613	0.139964225	0.067264208	0.02791001	0.009526704	0.002492894	0.000444757	4.33834e-05	993.714943	231.6627823	76.31589853	30.61378359	13.99024687	7.036321924	3.807233741	2.180968065	1.303111068	0.801233465	0.500424744	0.313895106	0.194708573	0.118134246	0.06908728	0.038365005	0.019830345	0.009280414	0.003778404	0.001252096	0.000298683	51377.94289	11619.06543	3929.968318	1665.39781	816.4348808	443.6556394	260.1269878	161.5712205	104.7806367	70.1353404	47.92290681	33.17004453	22.95808548	15.76400403	10.61457087	6.927141445	4.316016306	2.516611481	1.336240076	0.617297564	0.228111495	23069.66847	5551.234906	1995.330245	893.6670332	458.3848959	257.5274985	154.0953825	96.28281637	61.98426539	40.66972553	26.93401774	17.87482368	11.74613681	7.590391356	4.758043105	2.853425732	1.605297321	0.822844181	0.368404534	0.134914519	0.036458738	4948
722.3335523	465.0599384	302.2590312	199.0694206	132.1346046	88.10944482	58.75432637	39.05404125	25.77712577	16.84603827	10.8679537	6.916288678	4.319721339	2.648761358	1.590334252	0.933578859	0.533669584	0.29410686	0.153104501	0.072214269	0.028342081	670.4875553	188.9228572	79.80119153	43.19656752	27.42622427	19.27217491	14.43855285	11.27807147	9.065399021	7.442161049	6.197150435	5.201764773	4.349131696	3.590855361	2.890002057	2.238262726	1.642693646	1.119702151	0.688513679	0.364571487	0.153566904	643.7544631	168.9775588	63.72677984	29.78557497	15.9848078	9.345968693	5.72298793	3.568414267	2.223425251	1.370410261	0.832576498	0.499765478	0.295604107	0.171475583	0.095006581	0.04796766	0.021048299	0.007759443	0.002314323	0.000521282	7.63105e-05	616.1212668	166.7476497	69.31526689	37.61863237	23.89427357	16.54053721	11.99166965	8.94131997	6.819870853	5.291051547	4.14866588	3.25533718	2.51788676	1.900790656	1.385448349	0.964371223	0.629905082	0.375592146	0.195921001	0.083446539	0.025699595	602.5296946	156.2175232	60.60203438	30.12484115	17.34418401	10.75700085	6.865837742	4.413323027	2.838142591	1.829140842	1.1799788	0.754772681	0.466124162	0.270240069	0.143019	0.067994102	0.028579027	0.010312736	0.003047885	0.000683959	0.000100023	977.513069	230.1761762	75.62484906	29.99512173	13.50880112	6.706641513	3.608181735	2.073866955	1.252818925	0.781297325	0.49344568	0.310247183	0.190086946	0.111876324	0.062021184	0.031773158	0.014646322	0.005862486	0.001931816	0.000479519	7.59951e-05	48506.61076	11072.73769	3797.767549	1633.466875	811.1753895	444.9743611	262.3602543	163.3021475	105.8697659	70.69355232	48.16846647	33.24821431	22.96408759	15.76400403	10.62382776	6.945388771	4.333170584	2.528401956	1.338269294	0.613479229	0.225084304	24626.84859	5808.913295	2059.327435	912.5262415	464.4535397	259.2229978	154.192481	95.95826755	61.59986684	40.31087501	26.66260969	17.68374199	11.62009242	7.518020827	4.721015532	2.842021152	1.607184291	0.830311482	0.376014102	0.139448793	0.037537175	5007
724.0437502	464.9360545	301.6581186	198.1713631	131.446825	87.6384728	58.49216031	38.94585831	25.76431248	16.88192332	10.91965047	6.962321994	4.349131696	2.659829792	1.586940058	0.921718096	0.519603076	0.282578395	0.146509542	0.070201688	0.029061039	665.6269931	188.303438	80.01151094	43.5957042	27.76606832	19.4794026	14.53565139	11.3051172	9.068602342	7.442161049	6.201027693	5.207844645	4.352732965	3.590429652	2.885682174	2.233472803	1.639777419	1.120619188	0.693891107	0.372446804	0.15974742	645.2846401	169.9686296	63.9971905	29.81551022	15.91198407	9.246122625	5.633657273	3.507831821	2.195236024	1.367021117	0.84136495	0.509406418	0.300045671	0.170070743	0.091087829	0.045025279	0.019898962	0.007518393	0.002278812	0.000497656	6.43909e-05	610.5406212	165.2610436	68.83453682	37.4589777	23.82954137	16.49720779	11.95283024	8.919683382	6.794244284	5.259153723	4.111185721	3.223200714	2.503481687	1.908453418	1.407664893	0.986724198	0.640712278	0.371530982	0.182426701	0.069764171	0.018093776	600.0994135	155.4742202	59.97107617	29.56604979	16.88701285	10.43673988	6.686205443	4.347331434	2.839744252	1.85306421	1.197943428	0.758594315	0.460662238	0.263343583	0.138205415	0.064914865	0.026366125	0.008850717	0.002287943	0.000404505	3.91832e-05	1004.516192	233.1493884	76.46612668	30.5638915	13.92551467	6.991108611	3.781988121	2.167445198	1.296704425	0.798243044	0.498744599	0.312505421	0.193268066	0.116644264	0.067698746	0.037178928	0.018921168	0.00868303	0.003444598	0.001102544	0.0002505	36913.26976	10123.78747	3776.735608	1679.367594	840.3048798	458.5383551	267.894871	165.2494405	106.3822973	70.75336074	48.12969389	33.21347219	22.96408759	15.76826112	10.62074213	6.938546024	4.329739728	2.531022062	1.348415384	0.626684305	0.234102812	18794.17392	5388.947075	2093.278996	962.0191902	491.964725	271.656659	158.6590139	96.82373107	61.18343509	39.65298239	26.15856617	17.42317605	11.5720755	7.586134266	4.825926989	2.921853207	1.64166439	0.824547249	0.351359103	0.116856974	0.026475313	4949
1117.929311	543.6022934	312.1740889	194.8784855	127.1583167	84.94451287	57.27842857	38.60508205	25.80595566	17.01150823	11.00495015	6.978824504	4.319121127	2.61853602	1.560095067	0.91943718	0.537271982	0.308386435	0.168526558	0.082332858	0.032271123	667.3371909	191.5244179	81.36356426	43.85514305	27.62851239	19.27217491	14.38029373	11.21857085	9.026959166	7.424218523	6.186811081	5.189605029	4.329924932	3.568292784	2.870562582	2.228226696	1.642350561	1.124811357	0.693586724	0.365844265	0.150539712	638.1738176	170.7119326	65.10887879	30.45412891	16.23564508	9.394949782	5.695800338	3.527845665	2.197478349	1.364628781	0.839814046	0.509666984	0.301066031	0.170964732	0.091396392	0.044842806	0.019573031	0.007256383	0.002142854	0.000452393	5.59021e-05	604.9599757	167.8626043	70.60722896	38.03772589	23.7931295	16.26925733	11.73921345	8.762818119	6.70455129	5.219281443	4.106016044	3.240571776	2.529890988	1.92888745	1.408590582	0.966195955	0.609834577	0.347557015	0.176744891	0.079548655	0.031356659	587.948008	155.7219879	61.11281008	30.24458215	17.20258232	10.58556704	6.779420041	4.413323027	2.880106099	1.866620785	1.191739816	0.743915767	0.447457588	0.256106531	0.136816882	0.066648361	0.028716261	0.010462082	0.003019476	0.000618729	7.34094e-05	968.5120278	225.5924741	74.78357143	30.29447424	13.9862011	7.087186902	3.850928084	2.205850141	1.313682028	0.803625802	0.499520051	0.312505421	0.194168383	0.118772809	0.070568383	0.040212546	0.021562927	0.010635009	0.004651982	0.001703137	0.000468143	52971.12717	11470.40482	3836.826867	1632.469033	807.5342032	442.9020842	261.4863674	162.9775987	105.6775667	70.55399934	48.01337616	33.08318922	22.82603898	15.66183387	10.56211514	6.922579613	4.336601439	2.540192432	1.348415384	0.615706591	0.22066965	31017.5878	6708.309979	2239.300755	949.1470322	467.2855735	254.7016664	149.143357	92.17186466	59.16534273	39.03496205	26.15856617	17.64899987	11.80015583	7.709589874	4.835183882	2.853425732	1.552976773	0.766380904	0.338777951	0.133005351	0.045868258	4952
724.673823	461.9628423	299.194377	196.7743847	130.7185877	87.29937295	58.35622236	38.88635769	25.73548259	16.8639808	10.90672628	6.955373569	4.350932331	2.669621099	1.60205965	0.938368782	0.533841127	0.292010775	0.150365056	0.069899403	0.026910471	663.196712	188.4273219	79.98146531	43.27639485	27.36553783	19.15914163	14.3220346	11.17529768	8.985315991	7.386339857	6.158377857	5.177445285	4.332925989	3.577658382	2.87735097	2.226630055	1.633773422	1.114985961	0.68861514	0.367514787	0.155837297	634.1233491	167.1193012	63.24604977	29.56604979	15.82702306	9.242354849	5.665699791	3.543532191	2.215416948	1.36881537	0.832576498	0.500026044	0.295784171	0.171135015	0.094327742	0.047557096	0.020756676	0.007320575	0.001904421	0.00031724	2.6242e-05	628.9927556	172.5701902	71.44850658	38.04770431	23.74458035	16.30505121	11.82660213	8.865591912	6.787837641	5.277096249	4.135741688	3.248388755	2.520287606	1.91185909	1.397790873	0.971670153	0.630248168	0.371399976	0.191050878	0.08042369	0.024911264	615.1311522	161.9161799	62.67518281	30.5638915	17.22281114	10.55919261	6.745435553	4.37113168	2.833017277	1.827147228	1.170156414	0.741570673	0.456760864	0.267047252	0.143019	0.067401063	0.026640593	0.008322766	0.001889202	0.000272613	1.95821e-05	980.2133813	228.1940348	75.44457528	30.48406416	14.03070449	7.09849023	3.85384104	2.2080138	1.316565017	0.806616223	0.501846405	0.313981961	0.194768594	0.118645097	0.070012969	0.039482653	0.020859602	0.010078236	0.004288752	0.001511424	0.000393787	52899.11884	11770.20371	3951.000259	1669.389177	817.6486095	444.2208058	260.4182835	161.6794034	104.7806367	70.05559584	47.81951326	33.06581815	22.86805377	15.70440477	10.5775433	6.908894118	4.310870023	2.517921534	1.339283903	0.618808989	0.228489894	25121.90585	5867.1387	2066.23793	911.3288315	462.0260822	257.5274985	153.0272986	95.30916991	61.2154683	40.15138589	26.63676131	17.72716965	11.69211778	7.581877176	4.770385629	2.867111227	1.612845203	0.825333281	0.368810378	0.134994068	0.036496578	4976
